synonym,line_name,line_name_one,family,new_fam,NAM_name,diff_sort,man_sort,man_sort_reverse,Pop_location,color,N,fam_variance,fam_mean,fam_median,Proportion disimiliar,dis_sort,Population,Pop_location,pop_dis_sort,Ppd_H1,StP_15,StP_14_Al,StP_15_Al,Cr_16_1,Cr_16_2,Cr_16,StP_16_1,StP_16_2,StP_16,Mean,Mean_round,Mean_StP,Mean_weighted,parent_diff,Mean_inCralso,sum_pos,sum_neg,sum_all,sum_pos_im,sum_neg_im,sum_all_im,var_all_im,2H1_27204805,7H2_320469033,7H1_39192808
PI163409,PI163409,PI163409,35,34,HR635S,51,79,71,Admixed,goldenrod1,58,15.91073098,56.05917289,56.42562662,0.03,40,AD,Admixed,85,Alternative,59,60,58,19,20,19.5,47,49,48,48.9,49,56.25,37.88,-3.1,37.88,1.111579714,-4.248066397,-3.136486683,-2.199717995,1.466405828,-56.48781621,0.006897734,-0.713917848,-1.103143376,0.727857572
PI87844,PI087844,PI087844,29,28,HR629S,49,78,72,Admixed,goldenrod1,70,2.799228739,54.41006204,54.3299924,0.026,32,AD,Admixed,80,Ras,58,57,58,20,23,21.5,47,49,48,48.5,49,55.25,38.38,-3.5,38.38,0,0,0,-2.267706794,1.373152528,10.28176715,0.001001237,0,0,0
PI428411,PI428411,PI428411,71,67,HR671S,48,77,73,Admixed,goldenrod1,49,2.558909034,53.64481112,53.35697516,0.02,15,AD,Admixed,73,Ras,56,58,55,15,43,29,43,45,44,48.4,48,53.25,41.13,-3.6,41.13,2.938036927,-1.32231426,1.615722667,-0.986473252,2.1260009,87.27942792,0.004965921,1.400211333,1.268585218,-0.307028887
PI174431,PI174431,PI174431,37,36,HR637S,46,76,74,Admixed,goldenrod1,50,17.24667083,52.9169016,52.57340953,0.023,25,AD,Admixed,77,Alternative,59,56,58,19,19,19,,48,48,48,48,55.25,37.13,-4,37.13,1.56227878,-5.303290715,-3.741011935,-2.347885917,1.838273283,-103.5938679,0.005486091,-0.958985535,-1.591120295,0.658503022
PI640220,PI640220,PI640220,87,83,HR687S,45,75,75,Admixed,goldenrod1,33,12.07198008,51.69227052,50.44308678,0.021,19,AD,Admixed,75,Alternative,51,49,54,42,42,42,43,43,43,47.8,48,49.25,45.63,-4.2,45.63,0.681678609,-1.211821118,-0.530142509,-2.188353325,2.039912591,34.41603453,0.00211412,-0.305398322,-0.187330868,0.211984643
PI371817,PI371817,PI371817,59,55,HR659S,35,74,76,Admixed,goldenrod1,49,16.83236888,52.16789142,52.9508434,0.031,41,AD,Admixed,87,Ras,53,51,55,27,34,30.5,45,46,45.5,47,47,51.13,40.81,-5,40.81,0.140417026,-8.141343666,-8.00092664,-3.456990903,2.070824908,-129.5691245,0.007283123,-1.461182322,0,0.059846734
PI173518,PI173518,PI173518,36,35,HR636S,31,73,77,Admixed,goldenrod1,73,17.57922711,52.89361771,52.67969874,0.026,31,AD,Admixed,81,Ras,56,61,55,16,17,16.5,44,44,44,46.5,47,54,35.25,-5.5,35.25,1.816558118,-10.46006677,-8.64350865,-2.364068427,3.805872127,-82.41563922,0.008948534,-0.422713065,-1.13017812,0.016131965
PI640095,PI640095,PI640095,85,81,HR685S,30,72,78,Admixed,goldenrod1,52,17.65331003,52.82651998,51.46489231,0.018,10,AD,Admixed,71,Alternative,58,54,57,16,19,17.5,45,46,45.5,46.4,46,53.63,35.56,-5.6,35.56,4.121150267,-6.638050096,-2.516899829,-2.022142935,4.940990445,-26.38138854,0.008736825,0,0,0.515936706
PI178609,PI178609,PI178609,38,37,HR638S,28,71,79,Admixed,goldenrod1,31,19.89085869,54.00799347,52.48565274,0.024,27,AD,Admixed,79,NA,56,56,58,15,16,15.5,46,44,45,46.1,46,53.75,34.63,-5.9,34.63,1.622084832,-8.063832232,-6.4417474,-1.90849584,4.52540803,-62.31126285,0.006721127,-0.805741724,-1.371925516,-0.736706794
PI531917,PI531917,PI531917,78,74,HR678S,19,70,80,Admixed,goldenrod1,57,18.06110056,51.43823425,52.56177412,0.038,70,AD,Admixed,92,Ras,53,54,51,22,25,23.5,44,45,44.5,45.2,45,50.63,37.06,-6.8,37.06,2.853640315,-2.023949829,0.829690486,-1.839404621,3.476749711,-47.74620819,0.00504565,-0.650526012,-0.664037632,0
CIho6294,CIho06294,CIho06294,8,8,HR608S,18,69,81,Admixed,goldenrod1,63,18.52597246,53.16297802,52.43058409,0.021,18,AD,Admixed,74,Ras,56,54,57,15,16,15.5,44,43,43.5,45.2,45,52.63,34.06,-6.8,34.06,1.826386226,-7.658262228,-5.831876002,-2.962437444,2.988019483,-75.12128309,0.007738097,-1.054016717,-1.753472028,0
PI531986,PI531986,PI531986,79,75,HR679S,17,68,82,Admixed,goldenrod1,70,10.22352454,49.33297074,48.66270008,0.04,72,AD,Admixed,93,Ras,51,42,47,42,43,42.5,43,43,43,45.1,45,45.75,44.13,-6.9,44.13,0.219720322,-3.111639114,-2.891918792,-2.493716398,1.030394925,-120.9952232,0.004247571,-0.637886324,0,0
PI401964,PI401964,PI401964,65,61,HR665S,9,67,83,Admixed,goldenrod1,74,2.082996616,51.97625135,51.89874189,0.023,24,AD,Admixed,78,Ras,52,49,53,15,15,15,45,44,44.5,42.7,43,49.63,32.31,-9.3,32.31,0.029178746,-0.480116493,-0.450937747,-1.193563287,0.890803578,-35.45636702,0.000463096,0,0,-0.050068256
PI584786,PI584786,PI584786,83,79,HR683S,8,66,84,Admixed,goldenrod1,75,10.85438473,50.77765591,50.99772858,0.036,60,AD,Admixed,90,Ras,50,54,49,16,16,16,43,44,43.5,42.5,43,49.13,32.56,-9.5,32.56,2.116384229,-2.21589077,-0.099506541,-2.040260298,3.001353836,-77.13280209,0.003732617,-0.298088262,0,-0.123012917
PI449279,PI449279,PI449279,74,70,HR674S,6,65,85,Admixed,goldenrod1,62,17.74105199,52.12587448,50.50796426,0.029,37,AD,Admixed,84,Alternative,52,47,53,14,14,14,NA,44,44,42,42,49,31.5,-10,31.5,0.47310356,-8.381254392,-7.908150832,-3.381310628,3.702903072,-96.76466961,0.010711139,-0.641396589,0,-0.208590582
PI531896,PI531896,PI531896,77,73,HR677S,5,64,86,Admixed,goldenrod1,60,13.30884516,51.60728218,51.67776841,0.038,69,AD,Admixed,91,Ras,52,49,49,15,17,16,43,43,43,41.8,42,48.25,32.13,-10.2,32.13,1.555183891,-1.995633276,-0.440449385,-1.434342239,1.795595707,22.92745687,0.004212772,-0.641158473,-0.72827192,0
PI467797,PI467797, PI467797,92,88,HR692S,NA,88,87,Un,black,55,13.87706071,49.42532386,48.73603243,0.029,39,NA,Unknown,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.678713312,-3.264985281,-1.586271969,-1.518224051,3.037227929,-76.57992126,0.003323406,0.020324328,-0.288343635,-0.121339217
PI071075,PI071075,PI071075,28,27,HR628S,11,87,88,Un,black,51,19.09419299,52.94963117,52.10261179,0.027,34,NA,Unknown,96,Alternative,54,49,53,14,15,14.5,46,43,44.5,43,43,50.13,32.31,-9,32.31,0.96708509,-3.141804979,-2.174719889,-4.834305089,3.934229859,-75.04881541,0.020064134,0,0,0
