synonym,line_name,line_name_one,family,new_fam,NAM_name,diff_sort,man_sort,man_sort_reverse,Pop_location,color,N,fam_variance,fam_mean,fam_median,Proportion disimiliar,dis_sort,Population,Pop_location,pop_dis_sort,Ppd_H1,StP_15,StP_14_Al,StP_15_Al,Cr_16_1,Cr_16_2,Cr_16,StP_16_1,StP_16_2,StP_16,Mean,Mean_round,Mean_StP,Mean_weighted,parent_diff,Mean_inCralso,sum_pos,sum_neg,sum_all,sum_pos_im,sum_neg_im,sum_all_im,var_all_im,2H1_27204805,7H2_320469033,7H1_39192808
PI402164,PI402164,PI402164,67,63,HR667S,10,1,17,Central European,olivedrab3,64,2.787396906,52.2022139,51.8680622,0.015,3,4,Central European,8,Ras,54,49,55,14,15,14.5,42,42,42,42.9,43,50,32.25,-9.1,32.25,0.187576689,-1.538184152,-1.350607463,-0.678816612,0.603638667,-32.38327602,0.00049032,0,0,0.073099815
PI157884,PI157884,PI157884,34,33,HR634S,86,36,18,Coastal Mediterranean,turquoise,48,23.66568822,56.17665563,55.99422486,0.033,53,1,Coastal Mediterranean,37,Ras,NA,NA,65,NA,NA,NA,NA,NA,NA,65,65,65,65,13,NA,3.078942238,-9.41391591,-6.334973672,-3.153684542,4.445150011,8.953373815,0.010686643,-1.611066707,0,0.714422047
PI119925,PI119925,PI119925,31,30,HR631S,84,35,19,Coastal Mediterranean,turquoise,51,17.88161991,54.87598152,54.64275451,0.018,12,1,Coastal Mediterranean,23,Ras,65,93,65,34,34,34,60,60,60,63.4,63,70.75,52.38,11.4,52.38,0.728010554,-10.15863953,-9.430628975,-2.289602803,1.145660537,-70.58040049,0.005055717,-0.874621816,-0.575888344,0.03942623
PI39590,PI039590,PI039590,21,20,HR621S,79,34,20,Coastal Mediterranean,turquoise,52,15.5163597,52.15275149,51.40922039,0.035,59,1,Coastal Mediterranean,42,Ras,63,89,59,34,34,34,49,58,53.5,59.7,60,66.13,50.06,7.7,50.06,0.534972028,-5.231791682,-4.696819654,-1.98861068,1.102130256,-107.7659303,0.003897265,-0.338832349,-0.562880162,0.016660124
CIho2367,CIho02367,CIho02367,2,2,HR602S,76,33,21,Coastal Mediterranean,turquoise,69,16.35737523,51.75692509,50.2421279,0.032,48,1,Coastal Mediterranean,28,Ras,65,65,62,23,41,32,60,60,60,56.8,57,63,47.5,4.8,47.5,3.503128902,-10.79396038,-7.290831475,-2.47200621,1.824662828,-121.5259866,0.006446115,-0.777253938,0.12981822,0.45715727
PI94875,PI094875,PI094875,30,29,HR630S,75,32,22,Coastal Mediterranean,turquoise,51,21.93867764,54.9786004,54.6756744,0.033,52,1,Coastal Mediterranean,36,Ras,65,61,61,34,34,34,56,59,57.5,55.7,56,61.13,47.56,3.7,47.56,2.012360212,-5.816568414,-3.804208202,-3.140620506,7.068356186,7.861552177,0.022195727,-2.318679919,-1.726687426,0.809597116
PI48133,PI048133,PI048133,22,21,HR622S,67,31,23,Coastal Mediterranean,turquoise,58,14.88577036,52.43678232,52.65579434,0.033,51,1,Coastal Mediterranean,35,Ras,61,58,58,27,34,30.5,49,52,50.5,51.6,52,56.88,43.69,-0.4,43.69,2.95174736,-6.020703447,-3.068956087,-3.92155279,1.496194635,-108.6894481,0.004472088,-0.782647006,0,0.162338561
CIho6020,CIho06020,CIho06020,7,7,HR607S,64,30,24,Coastal Mediterranean,turquoise,64,18.30765671,54.33895152,54.90617909,0.034,57,1,Coastal Mediterranean,39,Ras,60,54,59,33,34,33.5,48,51,49.5,51.2,51,55.63,44.56,-0.8,44.56,2.637026461,-9.298922244,-6.661895783,-1.459972055,2.171724101,-57.34597618,0.004197626,-1.091419741,-0.747389465,1.104447634
CIho4264,CIho04264,CIho04264,6,6,HR606S,63,29,25,Coastal Mediterranean,turquoise,54,23.35581702,54.03453865,52.51289695,0.032,47,1,Coastal Mediterranean,29,Ras,63,NA,59,34,13,23.5,69,46,57.5,50.75,51,59.83,41.67,-1.25,41.67,3.653038479,-8.356423853,-4.703385374,-2.769886771,4.71875038,-3.444268151,0.009753397,-1.086611842,0.5489382,0.242662452
PI270692,PI270692,PI270692,43,42,HR643S,62,28,26,Coastal Mediterranean,turquoise,61,25.06667432,54.71319602,54.36187831,0.033,50,1,Coastal Mediterranean,38,Ras,63,54,60,25,26,25.5,50,52,51,50.7,51,57,41.25,-1.3,41.25,3.300319689,-8.592979086,-5.292659397,-2.06761234,6.812694716,25.87805398,0.012252524,-1.330661662,0,1.377011193
PI447100,PI447100,PI447100,73,69,HR673S,41,27,27,Coastal Mediterranean,turquoise,56,22.20925574,54.26679095,53.69440192,0.032,46,1,Coastal Mediterranean,33,Ras,59,54,59,17,18,17.5,46,49,47.5,47.4,47,54.88,36.19,-4.6,36.19,0.77000443,-12.18544026,-11.41543583,-3.299350499,3.446862407,-99.63489315,0.012963766,-1.111498883,0,-0.391839403
PI328485,PI328485,PI328485,53,49,HR653S,37,26,28,Coastal Mediterranean,turquoise,55,17.59309622,52.43597052,51.41987035,0.034,55,1,Coastal Mediterranean,40,Ras,60,NA,55,25,26,25.5,50,46,48,47.13,47,54.33,39.92,-4.87,39.92,10.61473358,-4.870010155,5.744723428,-2.343660811,3.347059277,-8.2723466,0.00598084,-0.44797238,-0.447042139,0.276720594
PI356719,PI356719,PI356719,57,53,HR657S,36,25,29,Coastal Mediterranean,turquoise,41,17.08839223,52.4407352,52.96895928,0.032,45,1,Coastal Mediterranean,32,Ras,58,49,55,25,26,25.5,45,51,48,47.1,47,52.5,39,-4.9,39,0.006417769,-6.425531614,-6.419113845,-2.953836824,1.051734393,-100.8308705,0.004502951,-1.137696655,0,-0.007894259
PI327680_PI327716_PI327859,PI327680_PI327716_PI327859,PI327680,48,47,HR648S,33,24,30,Coastal Mediterranean,turquoise,114,14.6155487,52.62444278,52.10650371,0.025,29,1,Coastal Mediterranean,25,Alternative,57,54,58,17,20,18.5,47,45,46,46.8,47,53.63,36.56,-5.2,36.56,6.308897195,-4.707418236,1.601478959,-2.386942246,2.544155221,58.32166828,0.008569094,-0.233915282,-1.078505448,0
PI467733,PI467733,PI467733,75,71,HR675S,26,23,31,Coastal Mediterranean,turquoise,76,7.917632634,54.52634413,54.04269926,0.022,21,1,Coastal Mediterranean,24,Ras,56,54,57,16,16,16,46,46,46,45.8,46,53.25,34.63,-6.2,34.63,3.137501047,-1.048302724,2.089198323,-2.009127365,4.392675883,131.9516699,0.007563217,1.099760781,0.875300764,0
PI328577,PI328577,PI328577,54,50,HR654S,21,22,32,Coastal Mediterranean,turquoise,52,10.34659351,50.77897114,49.79529906,0.034,54,1,Coastal Mediterranean,41,Ras,56,51,53,20,23,21.5,46,45,45.5,45.4,45,51.38,36.44,-6.6,36.44,0.413950937,-2.922494304,-2.508543367,-1.725880137,2.782390117,-98.22351294,0.004166523,-1.177533187,-0.567767156,-0.620379864
PI328632,PI328632,PI328632,55,51,HR655S,16,21,33,Coastal Mediterranean,turquoise,34,11.54436294,52.27989354,52.15550608,0.037,63,1,Coastal Mediterranean,43,Ras,56,51,53,16,20,18,44,44,44,44.4,44,51,34.5,-7.6,34.5,0.203349712,-5.448121368,-5.244771656,-1.718232338,0.851692664,-105.5102068,0.00272329,-1.058494175,-0.839846576,-0.094183872
PI320217,PI320217,PI320217,47,46,HR647S,13,20,34,Coastal Mediterranean,turquoise,47,17.0337732,50.56206078,48.55699228,0.032,44,1,Coastal Mediterranean,31,Ras,52,47,51,22,23,22.5,44,43,43.5,43.2,43,48.38,35.44,-8.8,35.44,3.411212357,-7.403590372,-3.992378015,-2.001064929,1.278015698,-55.92967888,0.003754073,-0.704025826,0.922668844,0.125695105
CIho15349,CIho15349,CIho15349,18,18,HR618S,2,19,35,Coastal Mediterranean,turquoise,70,12.94254587,51.74369661,52.28801328,0.032,43,1,Coastal Mediterranean,30,Ras,51,47,49,16,17,16.5,43,43,43,41.3,41,47.5,32,-10.7,32,2.548249642,-7.224209813,-4.675960171,-2.53245581,2.718973981,-155.1866136,0.007998051,-0.450329796,0.336455807,-0.481842574
CIho14052,CIho14052,CIho14052,12,12,HR612S,1,18,36,Coastal Mediterranean,turquoise,68,11.56956316,50.05121184,50.15440112,0.033,49,1,Coastal Mediterranean,34,Ras,50,44,51,16,16,16,43,43,43,40.8,41,47,31.5,-11.2,31.5,2.572448556,-4.335967461,-1.763518905,-3.700734034,1.891513895,-108.4651146,0.005283675,-0.569985454,0.703364688,-0.347029875
CIho13743,CIho13743,CIho13743,11,11,HR611S,87,44,37,East African,red,61,7.375338044,56.55970088,56.01499665,0.037,68,5,East African,47,Ras,NA,70,73,NA,NA,NA,NA,NA,NA,71.5,72,71.5,71.5,19.5,NA,10.44331647,-0.118973831,10.32434264,-0.72352022,2.98033787,162.9057869,0.006186107,1.246200418,1.70315298,-0.216787192
PI382860,PI382860,PI382860,60,56,HR660S,85,43,38,East African,red,42,9.792333263,57.24616269,57.12389066,0.036,61,5,East African,46,Ras,NA,77,74,35,37,36,70,67,68.5,63.88,64,73.17,54.58,11.88,54.58,7.630945318,-0.127583046,7.503362272,-0.575538853,1.70959113,138.036881,0.003386808,1.173980974,0.962859611,1.082957235
CIho14881,CIho14881,CIho14881,17,17,HR617S,83,42,39,East African,red,60,7.992257269,57.51370725,57.59745069,0.003,1,5,East African,44,Ras,57,79,72,37,44,40.5,NA,NA,NA,62.13,62,69.33,54.92,10.13,54.92,12.67536545,-0.908637439,11.76672801,-4.855404114,3.462771573,180.9411252,0.015368965,1.212293697,1.289695815,-0.381975575
PI386650,PI386650,PI386650,61,57,HR661S,80,41,40,East African,red,47,4.508877296,58.59726175,58.61587513,0.037,66,5,East African,50,Ras,NA,75,74,36,41,38.5,59,50,54.5,60.5,61,67.83,53.17,8.5,53.17,7.527095758,-0.042831278,7.48426448,-1.486550392,1.572847158,112.718901,0.003130088,1.383286902,1.030939975,0.174507102
PI298708,PI298708,PI298708,46,45,HR646S,72,40,41,East African,red,44,4.525609438,56.70275402,56.79494169,0.037,65,5,East African,49,Ras,62,65,62,25,27,26,54,52,53,53.6,54,60.5,43.25,1.6,43.25,8.997302966,-0.491953396,8.50534957,-0.621552746,1.974697388,99.85145282,0.003564119,1.497195828,1.317240002,0.412715705
PI640265,PI640265,PI640265,89,85,HR689S,58,39,42,East African,olivedrab3,73,8.535850129,57.45157764,57.03025794,0.018,11,5,East African,45,Ras,57,61,59,23,23,23,50,50,50,50,50,56.75,39.88,-2,39.88,5.663791432,0,5.663791432,-3.983485268,1.990414594,77.85224943,0.003950997,1.337833026,1.030466548,0.632412734
PI329000,PI329000,PI329000,56,52,HR656S,53,38,43,East African,red,77,5.883678944,53.60530686,53.04821719,0.038,71,5,East African,51,Ras,59,58,58,22,23,22.5,49,50,49.5,49.4,49,56.13,39.31,-2.6,39.31,11.3430466,-0.220776374,11.12227023,-1.755604287,2.27664958,76.63506112,0.004299591,1.234763599,0.890847485,0.270963984
PI296460,PI296460,PI296460,45,44,HR645S,20,37,44,East African,red,44,12.06571699,53.25510475,52.98434333,0.037,64,5,East African,48,Alternative,57,51,58,17,18,17.5,44,43,43.5,45.4,45,52.38,34.94,-6.6,34.94,0.362502281,-5.090279814,-4.727777533,-3.395971558,1.015531623,-106.1686345,0.004302,-0.21363731,-0.280098662,0.426736321
CIho2205,CIho02205,CIho02205,1,1,HR601S,88,63,45,Asian,violet,45,6.869069675,54.56586261,54.23126597,0.041,76,2,Asian,55,Ras,NA,82,74,NA,NA,NA,NA,NA,NA,78,78,78,78,26,NA,4.926621166,-0.954287357,3.972333809,-1.293939248,2.030725581,41.64821467,0.004602355,0.978999721,0.71067504,-0.858513254
PI181102,PI181102,PI181102,39,38,HR639S,82,62,46,Asian,violet,11,14.07206768,57.59736707,56.91018019,0.04,73,2,Asian,54,Alternative,NA,NA,62,NA,NA,NA,NA,NA,NA,62,62,62,62,10,NA,6.13800001,-0.802348192,5.335651818,-0.233701417,3.33366808,128.3877347,0.003173274,1.177674254,0,0.249415859
PI061533,PI061533,PI061533,25,24,HR625S,73,61,47,Asian,violet,34,3.861189471,54.96288608,54.68942882,0.043,86,2,Asian,65,Ras,63,61,63,26,27,26.5,56,55,55.5,53.8,54,60.63,43.56,1.8,43.56,3.610335088,-0.614414682,2.995920406,-2.170484157,1.284615887,16.5251701,0.001390086,0.899929393,0.578202529,-0.214364942
CIho4184,CIho04184,CIho04184,5,5,HR605S,71,60,48,Asian,violet,55,13.76105995,52.13609494,52.34406686,0.042,83,2,Asian,58,Ras,61,NA,58,27,34,30.5,63,66,64.5,53.5,54,61.17,45.83,1.5,45.83,1.170379091,-7.741352697,-6.570973606,-2.149184406,0.997947884,-99.82466133,0.003939667,-0.232351082,-0.423570259,-0.332909233
PI64022,PI064022,PI064022,26,25,HR626S,70,59,49,Asian,violet,52,18.4602774,51.52035947,49.70785647,0.044,89,2,Asian,70,Ras,NA,NA,53,NA,NA,NA,NA,NA,NA,53,53,53,53,1,NA,1.9941549,-7.050900701,-5.056745801,-2.777919983,3.851432617,-24.13288271,0.010129229,0,-0.067211233,-0.340806654
CIho14216,CIho14216,CIho14216,13,13,HR613S,65,58,50,Asian,violet,65,6.001892739,54.4384873,53.72826894,0.042,82,2,Asian,59,Ras,63,59,59,25,25,25,52,50,51,51.4,51,58,41.5,-0.6,41.5,3.905469949,-0.801109938,3.104360011,-0.873838162,1.187845441,46.79787596,0.001919712,0.760330036,0,-0.571392039
PI223883,PI223883,PI223883,42,41,HR642S,44,57,51,Asian,violet,69,6.982003788,54.19383706,54.00823314,0.042,81,2,Asian,61,Ras,58,54,57,18,19,18.5,50,53,51.5,47.8,48,55.13,36.81,-4.2,36.81,6.306067348,-1.003262317,5.302805031,-1.589158852,3.36602171,85.61310457,0.008200862,1.578759692,0,-1.408144226
CIho4050,CIho04050,CIho04050,4,4,HR604S,40,56,52,Asian,violet,70,6.274774821,57.90959613,57.65260477,0.015,4,2,Asian,52,Ras,61,NA,61,19,20,19.5,48,48,48,47.38,47,56.67,38.08,-4.62,38.08,11.90042239,-0.398493281,11.50192911,-1.637218715,1.766028785,192.524259,0.004215166,0.855286439,0.675860596,-0.082589674
PI54915,PI054915,PI054915,23,22,HR623S,39,55,53,Asian,violet,41,18.17992795,53.06914371,52.97336103,0.044,88,2,Asian,69,Ras,50,49,51,42,43,42.5,46,42,44,47.3,47,48.5,45.5,-4.7,45.5,0.655195964,-8.413035349,-7.757839385,-3.093452041,1.385568593,-181.1437653,0.008837803,0,0,-0.498935403
