line name	trials
5381	2011_9K_NB_allplates
5387	2011_9K_NB_allplates
5418	2011_9K_NB_allplates
5421	2011_9K_NB_allplates
5447	2011_9K_NB_allplates
5531	2011_9K_NB_allplates
5533	2011_9K_NB_allplates
5662	2011_9K_NB_allplates
5672	2011_9K_NB_allplates
5703	2011_9K_NB_allplates
5983	2011_9K_NB_allplates
6067	2011_9K_NB_allplates
6089	2011_9K_NB_allplates
6102	2011_9K_NB_allplates
6834	2011_9K_NB_allplates
7006	2011_9K_NB_allplates
7012	2011_9K_NB_allplates
7022	2011_9K_NB_allplates
7038	2011_9K_NB_allplates
7055	2011_9K_NB_allplates
7075	2011_9K_NB_allplates
7085	2011_9K_NB_allplates
7089	2011_9K_NB_allplates
7351	2011_9K_NB_allplates
7381	2011_9K_NB_allplates
7398	2011_9K_NB_allplates
7421	2011_9K_NB_allplates
7425	2011_9K_NB_allplates
8286	2011_9K_NB_allplates
8389	2011_9K_NB_allplates
8691	2011_9K_NB_allplates
8853	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
9123	2011_9K_NB_allplates
9172	2011_9K_NB_allplates
9243	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
9244	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
9605	2011_9K_NB_allplates
10246	2011_9K_NB_allplates
14088	2011_9K_NB_allplates
7_72|PI378216	2011_9K_NB_allplates
1008|PI264891	2011_9K_NB_allplates
10247|PI67384	2011_9K_NB_allplates
10345Z_MANDZURJI	2011_9K_NB_allplates
1230-2	2011_9K_NB_allplates
15/72	2011_9K_NB_allplates
2238-83	2011_9K_NB_allplates
233A	2011_9K_NB_allplates
2528-23	2011_9K_NB_allplates
2744|PI532000	2011_9K_NB_allplates
281DA_MAI	2011_9K_NB_allplates
3124-8	2011_9K_NB_allplates
34/22-108	2011_9K_NB_allplates
36AB2568	2011_9K_NB_allplates
37/71-49	2011_9K_NB_allplates
5473|PI138711	2011_9K_NB_allplates
696C	2011_9K_NB_allplates
69Z108.181	2011_9K_NB_allplates
6RADET_NOGEN	2011_9K_NB_allplates
796-1	2011_9K_NB_allplates
ABESSINISCHE6ZLG	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ABYSSINIAN16	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ABYSSINIAN21	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
AFGHANISTAN600	2011_9K_NB_allplates
AIZU_NO.7	2011_9K_NB_allplates
AKYUREK101	2011_9K_NB_allplates
AKYUREK32	2011_9K_NB_allplates
ALBERT	2011_9K_NB_allplates
ALI	2011_9K_NB_allplates
AMBIO	2011_9K_NB_allplates
AMRIGSCHWANDER	2011_9K_NB_allplates
AN_DA_PI2HAO	2011_9K_NB_allplates
ANDIE	2011_9K_NB_allplates
ANPEN_ZAIRAI	2011_9K_NB_allplates
AOMUGI	2011_9K_NB_allplates
APAM	2011_9K_NB_allplates
ARBI	2011_9K_NB_allplates
ARRA	2011_9K_NB_allplates
ASTACUS	2011_9K_NB_allplates
ATHENIS	2011_9K_NB_allplates
ATLAS68	2011_9K_NB_allplates
ATTIKI|PI338518	2011_9K_NB_allplates
AVANGUARDIA	2011_9K_NB_allplates
AZAMAT	2011_9K_NB_allplates
B.217-4201	2011_9K_NB_allplates
B-112	2011_9K_NB_allplates
B12A	2011_9K_NB_allplates
B25A	2011_9K_NB_allplates
B27A	2011_9K_NB_allplates
B32A	2011_9K_NB_allplates
B38A	2011_9K_NB_allplates
B-53	2011_9K_NB_allplates
B54A	2011_9K_NB_allplates
B-57	2011_9K_NB_allplates
B-71	2011_9K_NB_allplates
B-76	2011_9K_NB_allplates
B-87	2011_9K_NB_allplates
B-90	2011_9K_NB_allplates
B90A	2011_9K_NB_allplates
B-94	2011_9K_NB_allplates
B-97	2011_9K_NB_allplates
BABARI	2011_9K_NB_allplates
BAE-CHI|PI157651	2011_9K_NB_allplates
BAE-CHI|PI186121	2011_9K_NB_allplates
BAHTIM	2011_9K_NB_allplates
BALADI|PI233834	2011_9K_NB_allplates
BALLOBAR	2011_9K_NB_allplates
BANDAI-HADAKA	2011_9K_NB_allplates
BANKUTI9	2011_9K_NB_allplates
BARBARY	2011_9K_NB_allplates
BARBICAN|PI328072	2011_9K_NB_allplates
BARBICAN|PI38887	2011_9K_NB_allplates
BARLEY_NO.18	2011_9K_NB_allplates
BARQUIS	2011_9K_NB_allplates
BELTS.66-1450	2011_9K_NB_allplates
BELTS66-1317	2011_9K_NB_allplates
BERG	2011_9K_NB_allplates
BETA40	2011_9K_NB_allplates
BHS254	2011_9K_NB_allplates
BIGO|PI321857	2011_9K_NB_allplates
BIGO|PI327977	2011_9K_NB_allplates
BJORNEBY	2011_9K_NB_allplates
BONFARIK	2011_9K_NB_allplates
